"City","Token1","Count1","Token2","Count2","Proportion","Long","Lat"
"Flein","schau",12,"guck",1,92.3076923076923,9.2117083,49.1021482
"Flensburg","schau",4,"guck",5,44.4444444444444,9.4469964,54.7937431
"Frankfurt am Main","schau",218,"guck",130,62.6436781609195,8.6821267,50.1109221
"Frechen","schau",2,"guck",1,66.6666666666667,6.8159957,50.9122488
"Freiberg","schau",4,"guck",2,66.6666666666667,13.3468175,50.9160943
"Freiberg am Neckar","schau",1,"guck",1,50,9.1992433,48.9334303
"Freiburg im Breisgau","schau",151,"guck",30,83.4254143646409,7.8421043,47.9990077
"Freital","schau",2,"guck",1,66.6666666666667,13.6512413,51.0008667
"Friedrichsthal","schau",1,"guck",1,50,7.0946606,49.32702
"Fulda","schau",10,"guck",2,83.3333333333333,9.6808449,50.5558095
"Fuldatal","schau",13,"guck",8,61.9047619047619,9.5263416,51.351006
"Fürth","schau",52,"guck",16,76.4705882352941,10.988667,49.4771169
"Garbsen","schau",1,"guck",1,50,9.5955146,52.4272509
"Geesthacht","schau",1,"guck",1,50,10.3611665,53.4379562
"Gelsenkirchen","schau",17,"guck",18,48.5714285714286,7.0838411,51.5187651
"Georgsmarienhütte","schau",4,"guck",7,36.3636363636364,8.0491839,52.2020737
"Gerlingen","schau",7,"guck",2,77.7777777777778,9.0657713,48.7989751
"Gersthofen","schau",1,"guck",1,50,10.876347,48.4242503
"Gießen","schau",36,"guck",34,51.4285714285714,8.6784031,50.5840512
"Gladbeck","schau",9,"guck",8,52.9411764705882,6.9853921,51.5706624
"Göttingen","schau",87,"guck",86,50.2890173410405,9.9158035,51.5412804
"Graz","schau",426,"guck",7,98.3833718244804,15.439504,47.070714
"Greifswald","schau",9,"guck",7,56.25,13.3923414,54.0865463
"Grevenbroich","schau",1,"guck",3,25,6.585863,51.0902094
"Griesheim","schau",5,"guck",7,41.6666666666667,8.5676441,49.861426
"Gütersloh","schau",1,"guck",2,33.3333333333333,8.3857535,51.9032375
"Hagen am Teutoburger Wald","schau",1,"guck",1,50,7.9779972,52.195962
"Halle (Saale)","schau",109,"guck",71,60.5555555555556,11.9662371,51.4953567
"Hamburg","schau",132,"guck",180,42.3076923076923,9.9936818,53.5510846
"Hamm","schau",19,"guck",37,33.9285714285714,7.8159816,51.6738583
"Hanau","schau",5,"guck",7,41.6666666666667,8.9283105,50.1264123
"Hannover","schau",108,"guck",165,39.5604395604396,9.7320104,52.3758916
"Harsum","schau",4,"guck",2,66.6666666666667,9.9629419,52.2099738
"Haßfurt","schau",4,"guck",1,80,10.5151523,50.0371575
"Hattingen","schau",6,"guck",8,42.8571428571429,7.1911567,51.4018117
"Heddesheim","schau",2,"guck",3,40,8.6059128,49.5077027
"Heidelberg","schau",184,"guck",68,73.015873015873,8.6724335,49.3987524
"Heikendorf","schau",1,"guck",1,50,10.2112541,54.3793772
"Heilbronn","schau",55,"guck",12,82.089552238806,9.210879,49.1426929
"Heiningen","schau",1,"guck",1,50,9.6465141,48.6605962
"Hennef (Sieg)","schau",3,"guck",1,75,7.2801239,50.7767469
"Herne","schau",23,"guck",35,39.6551724137931,7.2009147,51.5368948
"Herten","schau",2,"guck",6,25,7.1389575,51.6020534
"Herzogenrath","schau",4,"guck",4,50,6.091241,50.8649918
"Heßdorf","schau",1,"guck",1,50,10.9114265,49.6258441
"Heubach","schau",1,"guck",1,50,9.931607,48.7932273
"Heuweiler","schau",3,"guck",1,75,7.9042522,48.0526221
"Hilchenbach","schau",1,"guck",1,50,8.1111636,50.9967407
"Hilden","schau",3,"guck",6,33.3333333333333,6.9352253,51.1678567
"Hildesheim","schau",47,"guck",65,41.9642857142857,9.9579652,52.154778
"Hirschberg an der Bergstraße","schau",1,"guck",1,50,8.6557901,49.508533
"Hockenheim","schau",4,"guck",3,57.1428571428571,8.5498581,49.319552
"Hof","schau",5,"guck",1,83.3333333333333,11.9127814,50.3135391
"Holzwickede","schau",2,"guck",2,50,7.6209355,51.4998482
"Hürth","schau",1,"guck",3,25,6.8881425,50.8805932
"Idstein","schau",1,"guck",1,50,8.265894,50.2171726
"Ilmenau","schau",5,"guck",1,83.3333333333333,10.9254728,50.6843502
"Ingelheim am Rhein","schau",1,"guck",1,50,8.0560682,49.9764195
"Ingolstadt","schau",102,"guck",6,94.4444444444444,11.4226498,48.7667395
"Innsbruck","schau",319,"guck",5,98.4567901234568,11.4041024,47.2692124
"Iserlohn","schau",1,"guck",9,10,7.6960842,51.3765096
"Jena","schau",114,"guck",57,66.6666666666667,11.5892372,50.927054
"Jüchen","schau",3,"guck",4,42.8571428571429,6.5038109,51.1007491
"Kaarst","schau",7,"guck",3,70,6.6172049,51.2241281
"Kaiserslautern","schau",23,"guck",9,71.875,7.7491265,49.4400657
"Kamp-Lintfort","schau",3,"guck",1,75,6.5321277,51.4957751
"Kämpfelbach","schau",3,"guck",2,60,8.6235068,48.9486352
"Karlsruhe","schau",248,"guck",46,84.3537414965986,8.4036527,49.0068901
"Kassel","schau",73,"guck",68,51.7730496453901,9.4797461,51.3127114
"Kelsterbach","schau",1,"guck",1,50,8.5297786,50.0597078
"Keltern","schau",7,"guck",1,87.5,8.6023638,48.8945388
"Kempen","schau",2,"guck",4,33.3333333333333,6.4205309,51.3649942
"Kempten (Allgäu)","schau",12,"guck",1,92.3076923076923,10.3157835,47.7285699
"Kernen im Remstal","schau",3,"guck",1,75,9.3182543,48.814019
"Kiel","schau",66,"guck",107,38.150289017341,10.1227652,54.3232927
"Kirchentellinsfurt","schau",1,"guck",1,50,9.1494458,48.5310191
"Klagenfurt am Wörthersee","schau",76,"guck",4,95,14.3122246,46.6364598
"Kobern-Gondorf","schau",1,"guck",1,50,7.45779,50.3037502
"Köln","schau",190,"guck",212,47.2636815920398,6.9602786,50.937531
"Königsbrunn","schau",4,"guck",1,80,10.8894293,48.273105
"Königstein im Taunus","schau",1,"guck",1,50,8.47191,50.17874
"Königswinter","schau",5,"guck",4,55.5555555555556,7.1911458,50.6772453
"Konstanz","schau",27,"guck",5,84.375,9.1736741,47.6779808
"Konz","schau",1,"guck",1,50,6.5726813,49.6993563
"Korschenbroich","schau",3,"guck",4,42.8571428571429,6.5144048,51.1894661
"Krefeld","schau",37,"guck",54,40.6593406593407,6.565208,51.3345409
"Kreuzlingen","schau",10,"guck",5,66.6666666666667,9.1707858,47.6447397
"Kreuztal","schau",2,"guck",5,28.5714285714286,7.9923572,50.9693854
"Kronshagen","schau",7,"guck",10,41.1764705882353,10.087652,54.3364873
"Kusterdingen","schau",1,"guck",2,33.3333333333333,9.1176135,48.523439
"Laatzen","schau",3,"guck",1,75,9.8086195,52.3082442
"Ladenburg","schau",3,"guck",2,60,8.6077464,49.4739759
"Lahnstein","schau",1,"guck",3,25,7.6093633,50.3078274
"Lampertheim","schau",1,"guck",1,50,8.466599,49.5997267
"Landau in der Pfalz","schau",23,"guck",2,92,8.1185622,49.198886
"Landshut","schau",11,"guck",1,91.6666666666667,12.1468532,48.5441917
"Langenhagen","schau",6,"guck",3,66.6666666666667,9.7443992,52.4528001
"Langensendelbach","schau",3,"guck",1,75,11.0709978,49.6397364
"Lauffen am Neckar","schau",3,"guck",1,75,9.1460062,49.0720251
"Lehre","schau",1,"guck",3,25,10.669431,52.3268575
"Leimen","schau",1,"guck",1,50,8.6878851,49.3490898
"Leipzig","schau",185,"guck",106,63.573883161512,12.3730747,51.3396955
"Leoben","schau",5,"guck",1,83.3333333333333,15.09113,47.37639
"Leonberg","schau",1,"guck",4,20,9.0095706,48.7960447
"Leverkusen","schau",10,"guck",13,43.4782608695652,7.0192196,51.0459248
"Lindau (Bodensee)","schau",2,"guck",1,66.6666666666667,9.6928605,47.5534983
"Linz","schau",388,"guck",1,99.7429305912596,14.28583,48.30694
"Lübeck","schau",35,"guck",64,35.3535353535354,10.6865593,53.8654673
"Ludwigsburg","schau",21,"guck",5,80.7692307692308,9.1942834,48.8891149
"Ludwigshafen am Rhein","schau",18,"guck",3,85.7142857142857,8.4447451,49.4774018
"Lüneburg","schau",5,"guck",9,35.7142857142857,10.4160637,53.2478704
"Lünen","schau",2,"guck",2,50,7.5285074,51.6104829
"Magdeburg","schau",101,"guck",87,53.7234042553192,11.6276237,52.1205333
"Mainz","schau",153,"guck",98,60.9561752988048,8.2472526,49.9928617
"Mannheim","schau",180,"guck",55,76.5957446808511,8.4660395,49.4874592
"Marburg","schau",29,"guck",17,63.0434782608696,8.7657677,50.8018843
"Markkleeberg","schau",3,"guck",2,60,12.3664574,51.2748681
"Mayen","schau",1,"guck",1,50,7.2272626,50.3279651
"Meerbusch","schau",5,"guck",3,62.5,6.6907173,51.2503512
"Mertesdorf","schau",21,"guck",19,52.5,6.7328104,49.7719275
"Meschede","schau",1,"guck",1,50,8.2851304,51.3511245
"Mettmann","schau",2,"guck",5,28.5714285714286,6.975103,51.2481156
"Moers","schau",14,"guck",17,45.1612903225806,6.6408148,51.4516041
"Mönchengladbach","schau",55,"guck",84,39.568345323741,6.4315392,51.1941686
"Monheim am Rhein","schau",2,"guck",3,40,6.8945753,51.0891756
"Mörfelden-Walldorf","schau",1,"guck",1,50,8.561487,49.980722
"Mühlheim am Main","schau",4,"guck",1,80,8.8382646,50.1202168
"Mülheim an der Ruhr","schau",25,"guck",33,43.1034482758621,6.8845226,51.4185682
