county,ass,asshole,bastard,bitch,bitched,bitchy,bloody,bullshit,cock,crap,crappy,cunt,damn,damnit,damned,darn,dick,dickhead,douche,douchebag,dumbass,dyke,fag,faggot,fatass,freaking,friggin,fuck,fucked,fucker,fuckery,fucking,goddamn,gosh,hell,hoe,homo,jackass,motherfucker,motherfucking,nigger,piss,pissed,pissy,pussy,shit,shittiest,shitty,slut,slutty,twat,whore
"minnesota,freeborn",649676,92811,9281,522835,3094,15468,9281,80436,12375,225840,21656,24750,547584,21656,0,12375,136123,3094,49499,0,30937,0,12375,40218,0,89717,0,952858,126842,34031,0,662051,0,52593,442398,68061,9281,3094,3094,9281,3094,61874,89717,3094,49499,1299352,6187,89717,61874,12375,0,37124
"minnesota,goodhue",818353,61166,12655,748751,6327,10546,46401,107567,14764,90694,10546,35856,681258,18982,12655,27419,160296,0,56947,6327,16873,0,10546,12655,0,67493,2109,1493283,200370,35856,4218,955448,27419,48511,451360,128659,6327,2109,14764,6327,0,69602,147641,4218,97021,1518593,6327,84366,59056,4218,4218,40074
"minnesota,grant",317931,30279,0,287652,0,30279,15140,45419,0,45419,0,30279,545025,30279,15140,30279,105977,0,15140,0,15140,0,15140,15140,0,90838,0,908375,121117,30279,0,423908,0,105977,211954,90838,0,0,0,0,0,45419,196815,0,15140,1211167,15140,121117,15140,0,0,121117
"minnesota,hennepin",969793,51577,10845,696257,3143,6347,33491,90090,11739,62114,10784,15960,642801,17624,10013,13803,149832,1602,21660,5084,18887,2650,14512,14265,2280,60111,4406,1353138,168626,16484,4252,754242,21167,43628,452361,105711,6902,3605,10044,5115,4498,38452,96345,2249,93911,1597343,4375,67906,21875,6255,3728,20581
"minnesota,houston",596803,100263,11936,761520,19098,14323,40583,100263,19098,19098,7162,21485,809264,11936,11936,9549,214849,0,54906,2387,16710,0,66842,40583,4774,109812,2387,2076873,312725,54906,0,1195992,11936,35808,479829,85940,9549,4774,11936,16710,21485,97876,260206,26259,112199,1881122,11936,116973,76391,2387,7162,62067
"minnesota,hubbard",652628,64617,19385,626781,0,12923,25847,38770,6462,64617,0,45232,581549,25847,6462,12923,116310,0,19385,12923,6462,0,12923,25847,12923,116310,0,1169560,135695,58155,0,633243,12923,168003,458778,90463,0,6462,0,0,0,64617,122772,0,38770,1292332,12923,103387,12923,6462,6462,51693
"minnesota,isanti",793449,96129,12207,871268,1526,6103,27466,99181,25940,102233,22888,79345,648492,12207,7629,19836,186155,1526,68664,1526,15259,3052,48828,76293,3052,103759,7629,2301001,254819,53405,1526,1866130,10681,117491,563043,103759,15259,13733,18310,4578,3052,103759,196836,9155,99181,1905802,6103,149535,71716,7629,15259,47302
"minnesota,itasca",736664,113750,8125,601248,5417,8125,10833,119166,16250,62291,5417,32500,834164,32500,8125,29792,116458,0,48750,8125,35208,2708,18958,18958,8125,75833,2708,1332496,132708,35208,0,801664,27083,105625,517290,43333,5417,5417,24375,2708,2708,78541,192291,8125,67708,1291871,2708,78541,65000,13542,16250,56875
"minnesota,jackson",556758,49333,14095,436949,7048,21143,28190,63428,7048,91618,21143,14095,521520,0,0,49333,119809,0,35238,7048,21143,7048,70476,49333,0,105713,0,930278,147999,42285,0,500377,0,70476,415806,42285,0,7048,14095,7048,7048,84571,183237,21143,77523,1282657,14095,147999,56381,7048,0,63428
"minnesota,kanabec",716517,72457,8051,716517,16102,8051,0,104660,16102,88558,0,40254,450842,8051,32203,24152,217370,0,40254,0,0,0,24152,24152,0,112711,8051,2310566,265675,32203,0,1288120,8051,40254,378385,40254,32203,0,8051,8051,0,104660,185167,16102,48305,1577947,8051,120761,96609,24152,0,40254
